Año,Trimestre,Provincia,Usuarios totales,Accesos por cada 100 hogares,Banda ancha fija,Dial up,ADSL,Cablemodem,Fibra óptica,Wireless,Mbps (Media de bajada),Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps
2020,4,Corrientes,125659,42.43,125656,3,50102,61495,3146,5626,25,670,5270,31900,26321,25687,9383,26789
2020,4,Entre Ríos,247381,59.47,247368,13,85683,113670,15653,20206,24,1050,2911,65659,53556,40755,166,53141
2020,4,Formosa,50206,32.49,50206,0,21264,10789,2432,15341,20,560,0,23540,7606,7181,1197,8946
2020,4,Jujuy,105851,53.46,105851,0,32850,52815,15639,1077,25,490,1820,23772,14379,4493,4460,19282
2020,4,La Pampa,96895,81.77,96779,116,9009,58945,15432,12194,10,2980,5540,70184,8124,6562,2396,6257
2020,4,La Rioja,52778,50.11,52775,3,17513,34984,1,2500,13,180,10,36906,606,4633,1810,4979
2020,4,Mendoza,215453,38.63,214838,615,91842,68364,36083,18331,11,280,400,146312,11172,40396,3378,11557
2020,4,Misiones,147161,42.64,147161,0,49462,79855,6589,4359,25,510,5240,39988,26078,26445,1481,32264
2020,4,Neuquén,133135,67.0,132762,373,30468,70614,13732,17689,34,1160,3270,56434,8478,5791,5493,50776
2020,4,Río Negro,141210,61.09,140709,501,48991,42022,17826,13994,22,1250,4660,70305,4153,13131,3512,29372
2020,4,Salta,187390,54.04,187388,2,56659,87817,30604,5858,25,1090,5140,41443,68829,15188,8291,46697
2020,4,San Juan,72596,36.32,72340,256,40072,7004,6599,10468,6,250,1940,61316,7400,5126,3320,275
2020,4,San Luis,119435,81.68,119287,148,8417,11767,27,63019,21,580,0,14020,349,2688,62239,22
2020,4,Santa Cruz,40674,37.0,40477,197,12347,19657,1041,4659,7,470,0,27173,4382,6634,1033,647
2020,4,Santa Fe,820813,73.58,820676,137,287271,414746,62692,38712,27,5180,8910,206372,203793,94246,65145,226246
2020,4,Santiago Del Estero,106669,43.75,106668,1,26812,70522,570,5169,11,1230,9090,34518,5759,4666,4110,4520
2020,4,Tierra Del Fuego,39614,76.27,39325,289,12853,26439,6,0,8,170,0,21881,6119,3497,4880,922
2020,4,Tucumán,231089,54.78,231067,22,149322,11150,68043,1834,36,290,970,44095,54334,32155,4105,93594
2020,3,Provincia de Buenos Aires,3937277,67.66,3932211,5066,653930,2384557,749087,94162,48,37542,31514,1113823,23471,219772,194248,2085815
2020,3,Capital Federal,1372675,107.68,1371285,1390,170375,1129573,39417,3936,64,2640,3120,162222,85083,68753,78028,977766
2020,3,Catamarca,49904,47.16,49903,1,26868,3690,16857,2610,37,630,0,8276,8768,11195,5620,18886
2020,3,Chaco,133954,41.54,133951,3,45745,58825,20675,6706,31,3080,1120,24675,21639,27546,13751,38729
2020,3,Chubut,130027,68.34,129202,825,45761,39386,2897,23216,7,1580,1090,87559,22114,12217,2818,1110
2020,3,Córdoba,867472,75.22,867417,55,276360,430771,102217,48368,34,1680,3064,218599,124833,84236,63823,361021
2020,3,Corrientes,123391,41.75,123388,3,50858,58681,2960,5513,24,720,5270,35190,23315,25308,8615,25344
2020,3,Entre Ríos,241495,58.19,241482,13,87892,106950,13954,20379,22,1300,2911,66648,51478,40797,14377,49395
2020,3,Formosa,49209,31.91,49209,0,21790,10003,2000,15023,18,3910,1510,23163,7432,7125,9910,8219
2020,3,Jujuy,106728,54.04,106728,0,32611,57682,11112,9520,22,550,1820,32131,10566,45198,2930,15238
2020,3,La Pampa,93735,79.26,93619,116,9015,56845,14677,11893,11,2930,8100,66695,782,5577,2189,6322
2020,3,La Rioja,52616,50.12,52613,3,17346,34984,1,2500,12,210,10,37105,5955,466,1240,4748
2020,3,Mendoza,207788,37.35,207173,615,91908,64672,32817,17523,10,580,400,141404,12123,42433,3448,8237
2020,3,Misiones,143186,41.6,143186,0,50195,77989,2572,3445,24,710,5240,39005,24215,25942,13663,30987
2020,3,Neuquén,129235,65.24,128862,373,30222,70446,11043,16787,31,2180,3270,60463,6561,5975,5449,49439
2020,3,Río Negro,131467,57.05,130966,501,49530,40001,10381,13187,21,1140,4660,68986,3769,7096,3455,28488
2020,3,Salta,180846,52.32,180844,2,58216,84128,25445,5764,25,1290,5140,32780,64736,1599,7928,43773
2020,3,San Juan,77327,38.79,77071,256,40092,9223,5509,14023,6,480,1940,65526,7110,6529,410,128
2020,3,San Luis,116565,79.96,116417,148,8401,10077,6,61828,21,1050,0,12199,3351,2666,61319,8
2020,3,Santa Cruz,39281,35.95,39084,197,12845,16098,1027,6938,7,660,0,26888,4015,673,6290,120
2020,3,Santa Fe,802998,72.12,802861,137,295051,405807,45721,37112,26,5680,1241,213353,199381,92095,58797,210562
2020,3,Santiago Del Estero,105492,43.38,105491,1,26419,70720,555,4185,11,1330,9090,33287,57418,4658,2920,3994
2020,3,Tierra Del Fuego,39655,76.81,39366,289,12854,26491,0,0,9,110,0,22094,5414,3726,4810,937
2020,3,Tucumán,223876,53.23,223854,22,149605,11752,59949,1808,35,520,970,45913,5461,33126,3246,84195
2020,2,Provincia de Buenos Aires,3777546,65.22,3772480,5066,661272,2244277,723072,91736,46,37542,31606,1129236,241336,233132,188995,1894466
2020,2,Capital Federal,1357821,106.41,1356431,1390,178896,1106133,39482,3937,60,2640,3120,166474,94585,79858,8016,935481
2020,2,Catamarca,47976,45.43,47975,1,26968,3641,14878,2610,35,630,0,8801,869,10242,4260,16578
2020,2,Chaco,128132,39.83,128129,3,46816,56017,17266,6452,28,3080,9280,24350,2114,29044,12082,33311
2020,2,Chubut,108656,57.34,107831,825,45761,38279,1324,17678,8,1580,1090,69578,22188,10537,1473,614
2020,2,Córdoba,836468,72.71,836413,55,282858,415007,85818,44522,31,1680,4383,219025,125932,8953,63216,325243
2020,2,Corrientes,118866,40.3,118863,3,51248,55536,3144,3927,22,720,5270,34242,22845,25844,7898,22418
2020,2,Entre Ríos,234113,56.54,234100,13,89391,99423,13954,20042,20,1300,3679,66758,5064,4209,12856,43391
2020,2,Formosa,47932,31.14,47932,0,21805,9353,1882,14723,17,3910,1510,23534,7109,6998,9610,7475
2020,2,Jujuy,94316,47.89,94316,0,32705,38938,5057,9520,16,550,1820,30548,10519,26829,2090,9417
2020,2,La Pampa,89809,76.1,89693,116,8551,54422,14232,11314,8,2930,8100,71218,7531,38,1657,3377
2020,2,La Rioja,52155,49.84,52152,3,16885,34984,1,2500,12,210,10,37375,5661,4686,730,4336
2020,2,Mendoza,201184,36.25,200569,615,91904,62941,29613,15924,9,580,400,142253,12439,35274,3248,5422
2020,2,Misiones,140340,40.89,140340,0,50792,74497,2579,3319,23,710,5240,39867,23719,26445,12305,28763
2020,2,Neuquén,126172,63.9,125799,373,30256,67990,11037,15755,29,2180,3270,61171,6103,6625,5296,46432
